"","JD","hw.reg","mid.reg","ms.reg"
"37",19,5.12402777117315,5.0721125534003,6.07836745053251
"38",19.5,6.23085016999126,6.56592672320501,7.3156319871098
"39",20,5.12997256880937,5.078207903319,6.08763152368709
"40",20.5,6.23809496762749,6.57377774322681,7.32634772693104
"41",21,5.13823976526371,5.08647309314551,6.10080180008562
"42",21.5,6.25258456289993,6.5894797832704,7.34777920657353
"43",22,5.14780696171805,5.09649395307512,6.11542374315081
"44",22.5,6.25982936053616,6.5973308032922,7.35849494639477
"45",23,5.15607415817238,5.10475914290163,6.12859401954934
"46",23.5,6.27431895580861,6.6130328433358,7.37992642603725
"47",24,5.16564135462672,5.11478000283123,6.14321596261454
"48",24.5,6.28156375344483,6.62088386335759,7.39064216585849
"49",25,5.17390855108106,5.12304519265774,6.15638623901307
"50",25.5,6.29605334871728,6.63658590340119,7.41207364550098
"51",26,5.18579814635351,5.13523589249515,6.17491438532222
"52",26.5,6.31054294398973,6.65228794344478,7.43350512514346
"53",27,5.19768774162595,5.14742659233256,6.19344253163137
"54",27.5,6.32503253926218,6.66798998348838,7.45493660478594
"55",28,5.2095773368984,5.15961729216997,6.21197067794052
"56",28.5,6.33952213453463,6.68369202353198,7.47636808442843
"57",29,5.22378933098896,5.17397783191519,6.23440502749362
"58",29.5,6.3612565274433,6.70724508359737,7.50851530389215
"59",30,5.23930132507953,5.1900940417635,6.25829104371339
"60",30.5,6.37574612271575,6.72294712364096,7.52994678353463
"61",31,5.25119092035197,5.20228474160091,6.27681919002254
"62",31.5,6.3902357179882,6.73864916368456,7.55137826317712
"63",32,5.26540291444253,5.21664528134612,6.29925353957565
"64",32.5,6.41197011089687,6.76220222374995,7.58352548264084
"65",33,5.2809149085331,5.23276149119443,6.32313955579542
"66",33.5,6.42645970616932,6.77790426379355,7.60495696228333
"67",34,5.29512690262366,5.24712203093965,6.34557390534852
"68",34.5,6.44819409907799,6.80145732385894,7.63710418174705
"69",35,5.31296129553233,5.26540808069576,6.37336612481225
"70",35.5,6.46992849198667,6.82501038392433,7.66925140121078
"71",36,5.330795688441,5.28369413045188,6.40115834427597
"72",36.5,6.49166288489534,6.84856344398973,7.7013986206745
"73",37,5.34630768253156,5.29981034030018,6.42504436049574
"74",37.5,6.50615248016779,6.86426548403332,7.72283010031698
"75",38,5.36051967662212,5.3141708800454,6.44747871004885
"76",38.5,6.52788687307646,6.88781854409872,7.75497731978071
"77",39,5.3783540695308,5.33245692980152,6.47527092951257
"78",39.5,6.54962126598513,6.91137160416411,7.78712453924443
"79",40,5.39618846243947,5.35074297955763,6.5030631489763
"80",40.5,6.57135565889381,6.9349246642295,7.81927175870816
"81",41,5.41634525416626,5.37119886922155,6.53476157168398
"82",41.5,6.60033484943871,6.96632874431669,7.86213471799313
"83",42,5.43780204589304,5.39341042898856,6.56791166105832
"84",42.5,6.62206924234738,6.98988180438209,7.89428193745685
"85",43,5.45563643880172,5.41169647874468,6.59570388052205
"86",43.5,6.64380363525605,7.01343486444748,7.92642915692058
"87",44,5.47347083171039,5.42998252850079,6.62349609998577
"88",44.5,6.66553802816472,7.03698792451287,7.9585763763843
"89",45,5.49362762343717,5.45043841816472,6.65519452269345
"90",45.5,6.69451721870962,7.06839200460006,8.00143933566927
"91",46,5.51508441516396,5.47264997793173,6.6883446120678
"92",46.5,6.71625161161829,7.09194506466546,8.03358655513299
"93",47,5.53524120689074,5.49310586759565,6.72004303477548
"94",47.5,6.74523080216319,7.12334914475265,8.07644951441796
"95",48,5.55669799861753,5.51531742736266,6.75319312414982
"96",48.5,6.76696519507187,7.14690220481804,8.10859673388169
"97",49,5.57685479034431,5.53577331702658,6.7848915468575
"98",49.5,6.79594438561676,7.17830628490523,8.15145969316665
"99",50,5.60063398088921,5.5601547167014,6.8219478394758
"100",50.5,6.82492357616166,7.20971036499242,8.19432265245162
"101",51,5.622090772616,5.58236627646842,6.85509792885015
"102",51.5,6.84665796907033,7.23326342505781,8.22646987191535
"103",52,5.64224756434278,5.60282216613234,6.88679635155783
"104",52.5,6.87563715961523,7.264667505145,8.26933283120031
"105",53,5.66602675488768,5.62720356580716,6.92385264417613
"106",53.5,6.90461635016013,7.2960715852322,8.31219579048528
"107",54,5.68980594543258,5.65158496548198,6.96090893679443
"108",54.5,6.93359554070503,7.32747566531939,8.35505874977025
"109",55,5.71358513597747,5.6759663651568,6.99796522941273
"110",55.5,6.96257473124992,7.35887974540658,8.39792170905521
"111",56,5.73736432652237,5.70034776483162,7.03502152203103
"112",56.5,6.99155392179482,7.39028382549377,8.44078466834018
"113",57,5.76114351706727,5.72472916450644,7.07207781464933
"114",57.5,7.02053311233972,7.42168790558096,8.48364762762515
"115",58,5.78492270761217,5.74911056418126,7.10913410726763
"116",58.5,7.04951230288462,7.45309198566815,8.52651058691011
"117",59,5.80870189815707,5.77349196385607,7.14619039988593
"118",59.5,7.07849149342951,7.48449606575534,8.56937354619508
"119",60,5.83248108870196,5.79787336353089,7.18324669250423
"120",60.5,7.10747068397441,7.51590014584253,8.61223650548005
"121",61,5.85626027924686,5.82225476320571,7.22030298512253
"122",61.5,7.13644987451931,7.54730422592972,8.65509946476501
"123",62,5.88236186860987,5.84880600278834,7.26126548098479
