"JD","WT"
216.1,33.2153091638203
216.6,33.2153091638203
217.1,33.2540940419959
217.6,33.2540940419959
218.1,33.2838805936313
218.6,33.2838805936313
219.1,33.3045655710077
219.6,33.3045655710077
220.1,33.3160535378525
220.6,33.3160535378525
221.1,33.3182803036768
221.6,33.3182803036768
222.1,33.311189489438
222.6,33.311189489438
223.1,33.2947301250188
223.6,33.2947301250188
224.1,33.2688728760042
224.6,33.2688728760042
225.1,33.2335938169048
225.6,33.2335938169048
226.1,33.1888771004221
226.6,33.1888771004221
227.1,33.1347391920209
227.6,33.1347391920209
228.1,33.0712046353569
228.6,33.0712046353569
229.1,32.9982979740857
229.6,32.9982979740857
230.1,32.9160520009311
230.6,32.9160520009311
231.1,32.8245325048891
231.6,32.8245325048891
232.1,32.7238135240239
232.6,32.7238135240239
233.1,32.6139749261573
233.6,32.6139749261573
234.1,32.4951198981432
234.6,32.4951198981432
235.1,32.3673574565929
235.6,32.3673574565929
236.1,32.2308053190053
236.6,32.2308053190053
237.1,32.0856160064279
237.6,32.0856160064279
238.1,31.9319507407954
238.6,31.9319507407954
239.1,31.7699707440424
239.6,31.7699707440424
240.1,31.5998457744407
240.6,31.5998457744407
241.1,31.4217797356104
241.6,31.4217797356104
242.1,31.2359850675086
242.6,31.2359850675086
243.1,31.0426810477178
243.6,31.0426810477178
244.1,30.842114304321
244.6,30.842114304321
245.1,30.6345383030265
245.6,30.6345383030265
246.1,30.4202065095425
246.6,30.4202065095425
247.1,30.1993743412135
247.6,30.1993743412135
248.1,29.9723050219277
248.6,29.9723050219277
249.1,29.7392637272094
249.6,29.7392637272094
250.1,29.5005167600926
250.6,29.5005167600926
251.1,29.2563349336491
251.6,29.2563349336491
252.1,29.0069901884602
252.6,29.0069901884602
253.1,28.7527569552709
253.6,28.7527569552709
254.1,28.4939196254811
254.6,28.4939196254811
255.1,28.2307650806542
255.6,28.2307650806542
256.1,27.9635802023536
256.6,27.9635802023536
257.1,27.6926537730373
257.6,27.6926537730373
258.1,27.4182821787415
258.6,27.4182821787415
259.1,27.1407637063968
259.6,27.1407637063968
260.1,26.8604014519904
260.6,26.8604014519904
261.1,26.5775177477364
261.6,26.5775177477364
262.1,26.2924397349054
262.6,26.2924397349054
263.1,26.0054868411858
263.6,26.0054868411858
264.1,25.7169476399381
264.6,25.7169476399381
265.1,25.4271029909405
265.6,25.4271029909405
266.1,25.1362337539712
266.6,25.1362337539712
267.1,24.8446014784893
267.6,24.8446014784893
268.1,24.5523904726773
268.6,24.5523904726773
269.1,24.2597657343985
269.6,24.2597657343985
270.1,23.9668768181667
270.6,23.9668768181667
271.1,23.6738115050972
271.6,23.6738115050972
272.1,23.3806421329558
272.6,23.3806421329558
273.1,23.0874410395082
273.6,23.0874410395082
274.1,22.667
274.6,22.667
275.1,22.29
275.6,22.29
276.1,21.9
276.6,21.9
277.1,21.51
277.6,21.51
278.1,21.38
278.6,21.38
279.1,20.86
279.6,20.86
280.1,20.392
280.6,20.392
281.1,20.223
281.6,20.223
282.1,20.054
282.6,20.054
283.1,19.898
283.6,19.898
284.1,19.729
284.6,19.729
285.1,19.56
285.6,19.56
286.1,19.404
286.6,19.404
287.1,19.235
287.6,19.235
288.1,19.079
288.6,19.079
289.1,18.91
289.6,18.91
290.1,18.754
290.6,18.754
291.1,18.585
291.6,18.585
292.1,18.429
292.6,18.429
293.1,18.26
293.6,18.26
294.1,18.104
294.6,18.104
295.1,17.948
295.6,17.948
296.1,17.779
296.6,17.779
297.1,17.623
